"scalar1of1Gradient:0","scalar1of1Gradient:1","scalar1of1","Result:0","Result:1","Result:2","IntegrationTime","Vorticity:0","Vorticity:1","Vorticity:2","Rotation","AngularVelocity","Normals:0","Normals:1","Normals:2","vtkOriginalPointIds","Points:0","Points:1","Points:2"
-0.00197577220630146,0.00212427417507926,1304.35364718131,-0.00197577220630146,0.00212427417507926,0,35193.0426113442,0,0,-2.134435350361e-006,0,0,0,0,-1,6260,58897.1875,67381,-2.27107436047251e-013
-0.00184030156238184,0.00207108172915217,1304.36374407822,-0.00184030156238184,0.00207108172915217,0,36411.7418925454,0,0,-6.2011237666389e-006,0,0,0,0,-1,6261,58894.8125,67384,-2.27107436047251e-013
-0.00170553554431733,0.00203505846222104,1304.3732305272,-0.00170553554431733,0.00203505846222104,0,5687.8427347839,0,0,-1.32961601244828e-006,0,0,0,0,-1,6262,58892.5,67386.5,-2.27107436047251e-013
-0.00156676790783812,0.00199982412389642,1304.38270189982,-0.00156676790783812,0.00199982412389642,0,39019.3721445209,0,0,-9.02627170989415e-007,0,0,0,0,-1,6263,58890.28125,67389,-2.27107436047251e-013
-0.00141957649179029,0.00198463438643188,1304.39128189778,-0.00141957649179029,0.00198463438643188,0,40411.0495223557,0,0,-1.76685642967983e-007,0,0,0,0,-1,6264,58888.15625,67392,-2.27107436047251e-013
-0.00129875108334912,0.00199179335407834,1304.39985761385,-0.00129875108334912,0.00199179335407834,0,41859.9936753498,0,0,-1.66104632119574e-006,0,0,0,0,-1,6265,58886.15625,67395,-2.27107436047251e-013
-0.00126674654415421,0.00199457735461278,1304.40245134604,-0.00126674654415421,0.00199457735461278,0,42443.3610201332,0,0,1.71757586142877e-006,0,0,0,0,-1,6266,58885.59375,67396,-2.27107436047251e-013
-0.00120293759407587,0.0020065765679895,1304.41064199487,-0.00120293759407587,0.0020065765679895,0,43939.6716164702,0,0,-8.47143981360875e-006,0,0,0,0,-1,6267,58883.75,67399,-2.27107436047251e-013
-0.00117168239962091,0.0020534063551133,1304.41881426971,-0.00117168239962091,0.0020534063551133,0,45450.886005877,0,0,-5.21941679528695e-006,0,0,0,0,-1,6268,58881.96875,67402,-2.27107436047251e-013
-0.00118114489719057,0.00209633655696974,1304.42730073908,-0.00118114489719057,0.00209633655696974,0,46946.3488389512,0,0,5.39766350354735e-006,0,0,0,0,-1,6269,58880.21875,67405,-2.27107436047251e-013
-0.00118987497310957,0.00211989437804672,1304.43048507645,-0.00118987497310957,0.00211989437804672,0,47613.4728197323,0,0,-4.91950395626566e-006,0,0,0,0,-1,6270,58879.5625,67406,-2.27107436047251e-013
-0.00121682641907763,0.00217781008537618,1304.43910014104,-0.00121682641907763,0.00217781008537618,0,49067.8273292573,0,0,-1.16007224921647e-006,0,0,0,0,-1,6271,58877.84375,67409,-2.27107436047251e-013
-0.00123590367262094,0.00220566418855802,1304.44806547406,-0.00123590367262094,0.00220566418855802,0,50485.0459390731,0,0,-3.67622707207612e-006,0,0,0,0,-1,6272,58876.125,67412.5,-2.27107436047251e-013
-0.00123849306233858,0.00222466093997202,1304.45707165972,-0.00123849306233858,0.00222466093997202,0,51883.4175992686,0,0,5.39689740691468e-006,0,0,0,0,-1,6273,58874.40625,67415.5,-2.27107436047251e-013
-0.00123696228222585,0.00223647089707441,1304.46600578493,-0.00123696228222585,0.00223647089707441,0,53271.9870935536,0,0,6.45630675608418e-006,0,0,0,0,-1,6274,58872.6875,67418.5,-2.27107436047251e-013
-0.00119689764898582,0.00221825144335047,1304.47499495094,-0.00119689764898582,0.00221825144335047,0,54655.3495408816,0,0,5.27164598593537e-006,0,0,0,0,-1,6275,58870.96875,67421.5,-2.27107436047251e-013
-0.00116986383460443,0.00219534965169281,1304.48392610176,-0.00116986383460443,0.00219534965169281,0,56058.029606631,0,0,-5.81020199014702e-008,0,0,0,0,-1,6276,58869.3125,67424.5,-2.27107436047251e-013
-0.00116448352673728,0.00218145800401556,1304.48613476713,-0.00116448352673728,0.00218145800401556,0,56602.0040385911,0,0,-5.73946570028636e-006,0,0,0,0,-1,6277,58868.90625,67425.5,-2.27107436047251e-013
-0.00113504708608977,0.00209410466381018,1304.49473723846,-0.00113504708608977,0.00209410466381018,0,58031.7686913967,0,0,-1.92575421491044e-006,0,0,0,0,-1,6278,58867.21875,67428.5,-2.27107436047251e-013
